// Auto-generated: 20 orders, seed=42+20
// total demand = 653, giant order = 198 > Cp = 183 (forced split)
// picking cap = 732 (12.1% margin) | pod flow = 850 | repl = 885
I = 7;
o = 20;
g = 6;
p = 2;
np = 4;
nr = 3;
C = 85;
Cp = 183;
Cr = 59;
w = 5;
se = 3;
demand = [
[29 29 28 28 28 28 28]
[3 0 8 6 0 0 0]
[3 1 1 6 3 2 8]
[7 5 6 1 5 4 5]
[0 1 4 0 0 0 8]
[4 3 7 7 8 0 2]
[0 0 2 4 6 3 2]
[5 0 6 8 6 7 8]
[5 4 3 0 1 6 8]
[1 0 2 4 1 0 5]
[0 5 7 5 0 7 8]
[0 1 0 6 0 0 6]
[7 6 0 6 2 6 5]
[1 1 4 4 0 7 6]
[6 1 0 6 3 0 4]
[6 8 1 0 1 5 5]
[2 6 6 4 0 8 0]
[6 3 2 4 0 0 5]
[4 6 8 1 8 5 3]
[3 0 0 0 6 4 0]
];
t = [7 12 17 22 27];
d = [5 5 5 5 5];
