// Auto-generated: 30 orders, seed=42+30
// total demand = 1216, giant order = 369 > Cp = 341 (forced split)
// picking cap = 1364 (12.2% margin) | pod flow = 1590 | repl = 1650
I = 8;
o = 30;
g = 10;
p = 3;
np = 4;
nr = 3;
C = 106;
Cp = 341;
Cr = 110;
w = 5;
se = 3;
demand = [
[47 46 46 46 46 46 46 46]
[0 3 6 3 6 0 0 0]
[8 8 0 6 7 5 4 8]
[6 3 7 6 0 4 0 1]
[3 8 8 7 0 8 2 6]
[1 0 6 0 5 3 7 1]
[0 1 4 0 4 4 8 7]
[6 5 3 1 8 0 7 1]
[2 7 1 4 6 6 2 0]
[2 0 6 1 1 4 4 7]
[0 5 0 0 3 1 6 2]
[3 2 4 8 0 7 5 5]
[3 3 2 8 5 8 4 1]
[2 8 6 0 4 2 1 6]
[1 0 5 3 3 7 0 8]
[0 3 7 2 5 7 7 8]
[1 3 6 0 4 8 8 2]
[2 3 2 6 8 7 6 2]
[0 8 4 3 7 3 4 0]
[0 3 0 6 1 1 8 0]
[6 6 7 0 3 0 7 3]
[2 0 0 0 7 5 5 5]
[2 0 1 7 1 8 0 7]
[8 7 7 0 5 0 1 2]
[2 3 6 0 7 0 1 1]
[4 7 8 5 0 4 4 8]
[3 8 6 1 8 5 4 0]
[8 7 3 5 5 2 1 1]
[3 3 1 6 2 0 1 2]
[4 4 0 6 3 1 8 0]
];
t = [7 12 17 22 27];
d = [5 5 5 5 5];
